"","trigram","Freq_R","Freq_D","chi.sq()"
"9496","spend next year",33,10,-0.332495285983658
"3479","friend across aisl",152,42,-0.331761351173503
"2915","enter unit state",44,13,-0.330581355349157
"5561","major leader said",92,26,-0.329600484261501
"1182","billion billion year",29,9,-0.328947368421053
"625","american peopl talk",14,5,-0.327935222672065
"676","annual appropri process",14,5,-0.327935222672065
"787","assault domest violenc",14,5,-0.327935222672065
"1447","california mr lamalfa",14,5,-0.327935222672065
"1623","chairman energi committe",14,5,-0.327935222672065
"2017","committe whole hous",14,5,-0.327935222672065
"2166","constitut articl section",14,5,-0.327935222672065
"2587","democrat white hous",14,5,-0.327935222672065
"2861","enemi unit state",14,5,-0.327935222672065
"3550","gener tax administr",14,5,-0.327935222672065
"3682","get much wors",14,5,-0.327935222672065
"3688","get rid obamacar",14,5,-0.327935222672065
"3782","go go ahead",14,5,-0.327935222672065
"3824","go say go",14,5,-0.327935222672065
"4516","impact real peopl",14,5,-0.327935222672065
"4623","inspector gener tax",14,5,-0.327935222672065
"4643","insur premium go",14,5,-0.327935222672065
"6568","must held account",14,5,-0.327935222672065
"7203","one thing peopl",14,5,-0.327935222672065
"7302","paid ultim sacrific",14,5,-0.327935222672065
"8044","protect american job",14,5,-0.327935222672065
"8134","put boot ground",14,5,-0.327935222672065
"10704","unit state requir",14,5,-0.327935222672065
"10983","virginia mr wolf",14,5,-0.327935222672065
"11216","washington post editori",14,5,-0.327935222672065
"11255","way senat oper",14,5,-0.327935222672065
"11335","whole hous state",14,5,-0.327935222672065
"7997","product feder land",40,12,-0.327759197324415
"3967","growth job creation",51,15,-0.327272727272727
"3048","explain american peopl",25,8,-0.324354657687991
"10519","underli bill would",25,8,-0.324354657687991
"7230","oper endur freedom",54,16,-0.322321428571429
"3594","gentleman pennsylvania mr",112,32,-0.322061191626409
"43","accord congression research",32,10,-0.32010582010582
"4229","hire new worker",32,10,-0.32010582010582
"5339","lo angel time",32,10,-0.32010582010582
"1577","chair member wish",21,7,-0.318181818181818
"1626","chairman foreign affair",21,7,-0.318181818181818
"2484","death famili present",21,7,-0.318181818181818
"2623","detain present would",21,7,-0.318181818181818
"2716","done mr speaker",21,7,-0.318181818181818
"2736","due death famili",21,7,-0.318181818181818
"3744","go back look",21,7,-0.318181818181818
"7492","peopl deserv know",21,7,-0.318181818181818
"7836","presid obama say",21,7,-0.318181818181818
"8697","save social secur",21,7,-0.318181818181818
"10043","thank gentleman georgia",21,7,-0.318181818181818
"10225","time high unemploy",21,7,-0.318181818181818
"11368","within feder govern",21,7,-0.318181818181818
"2012","committe transport infrastructur",39,12,-0.317647058823529
"7839","presid obama senat",28,9,-0.314734088927637
"7976","problem health care",28,9,-0.314734088927637
"11281","week mr speaker",28,9,-0.314734088927637
"1849","colleagu support commonsens",35,11,-0.31304347826087
"904","barrel oil day",17,6,-0.309462915601023
"2602","depart inspector gener",17,6,-0.309462915601023
"3229","feder govern spent",17,6,-0.309462915601023
"3633","get answer question",17,6,-0.309462915601023
"5050","law american peopl",17,6,-0.309462915601023
"5303","like unit state",17,6,-0.309462915601023
"7067","obama white hous",17,6,-0.309462915601023
"8295","record mr speaker",17,6,-0.309462915601023
"9278","small busi health",17,6,-0.309462915601023
"9934","tax internet access",17,6,-0.309462915601023
"11297","well nt know",17,6,-0.309462915601023
"4867","kill innoc peopl",24,8,-0.307692307692308
"6090","million peopl year",24,8,-0.307692307692308
"159","act usc amend",45,14,-0.307323313079629
"7243","opportun offer amend",45,14,-0.307323313079629
"478","american ca nt",31,10,-0.307317073170732
"8129","put american work",31,10,-0.307317073170732
"10513","unborn child protect",31,10,-0.307317073170732
"9367","speaker continu reserv",114,34,-0.304529881994671
"5077","law mr speaker",41,13,-0.302469135802469
"10662","unit state marin",41,13,-0.302469135802469
"9735","support bill reserv",34,11,-0.301424501424501
"385","amend offer mr",27,9,-0.3
"2870","energi independ secur",27,9,-0.3
"3270","fifth congression district",27,9,-0.3
"6267","mr chairman think",27,9,-0.3
"11375","without due process",27,9,-0.3
"489","american famili act",20,7,-0.298059964726631
"1880","colorado mr tipton",20,7,-0.298059964726631
"1936","come togeth say",20,7,-0.298059964726631
"3185","feder govern come",20,7,-0.298059964726631
"3990","happen unit state",20,7,-0.298059964726631
"6918","nt know anybodi",20,7,-0.298059964726631
"7937","prime minist netanyahu",20,7,-0.298059964726631
"10525","understand mr speaker",20,7,-0.298059964726631
"10812","urg vote amend",20,7,-0.298059964726631
"8041","protect afford care",71,22,-0.296749474725003
"3592","gentleman oklahoma mr",37,12,-0.296630280018984
"29","access care act",13,5,-0.296296296296296
"41","accord bureau labor",13,5,-0.296296296296296
"1304","budget balanc year",13,5,-0.296296296296296
"1867","colleagu vote clotur",13,5,-0.296296296296296
"2893","engel new york",13,5,-0.296296296296296
"2945","even mr speaker",13,5,-0.296296296296296
"3177","feder govern abl",13,5,-0.296296296296296
"3405","follow new paragraph",13,5,-0.296296296296296
"3458","four brave american",13,5,-0.296296296296296
"3581","gentleman minnesota recogn",13,5,-0.296296296296296
"3734","go american peopl",13,5,-0.296296296296296
"3857","good friend california",13,5,-0.296296296296296
"3986","happen last week",13,5,-0.296296296296296
"4741","jersey mr frelinghuysen",13,5,-0.296296296296296
"4764","job health care",13,5,-0.296296296296296
"5692","make sure member",13,5,-0.296296296296296
"5887","member congress go",13,5,-0.296296296296296
"5963","men women protect",13,5,-0.296296296296296
"6901","nt give us",13,5,-0.296296296296296
"7552","peopl pay attent",13,5,-0.296296296296296
"7772","presid chief execut",13,5,-0.296296296296296
"7814","presid obama continu",13,5,-0.296296296296296
"8031","promis made promis",13,5,-0.296296296296296
"8051","protect end user",13,5,-0.296296296296296
"9068","septemb terrorist attack",13,5,-0.296296296296296
