"","trigram","Freq_R","Freq_D","chi.sq()"
"1969","committe commerc scienc",7,90,-0.780446357765945
"8987","senat proceed consider",19,280,-0.777574851324666
"3408","follow remark senat",5,55,-0.771604938271605
"977","bill amend read",5,54,-0.76782858970259
"9322","societi civil engin",5,54,-0.76782858970259
"11020","vote confirm nomin",5,54,-0.76782858970259
"6189","motion tabl motion",8,99,-0.766262607569168
"2690","divid usual form",7,83,-0.764021164021164
"6222","move lay motion",6,68,-0.763910969793323
"2679","district court district",5,52,-0.759889920880633
"3094","faith credit unit",10,125,-0.75940281366638
"395","amend read third",6,66,-0.757575757575758
"2931","equal pay act",7,80,-0.756208315595289
"4641","insur million american",5,51,-0.755714285714286
"5630","make minimum wage",5,51,-0.755714285714286
"10507","unanim consent time",12,150,-0.753561253561254
"1951","commerc scienc transport",8,93,-0.752996352266806
"4258","home state senat",9,106,-0.750618268847228
"11470","work hard play",6,62,-0.743833017077799
"2743","earli childhood educ",9,102,-0.742084942084942
"2129","consent committe foreign",11,128,-0.740466273597663
"9553","state district columbia",5,47,-0.737458193979933
"2150","consid made laid",31,389,-0.737083045778698
"8289","reconsid consid made",31,388,-0.736499332551272
"6608","nation histor park",6,60,-0.736363636363636
"6185","motion reconsid consid",32,388,-0.728870485392225
"2239","cost higher educ",5,45,-0.727272727272727
"6034","million american live",5,45,-0.727272727272727
"9369","speaker demand record",10,108,-0.726694915254237
"10503","unanim consent senat",77,934,-0.722843743694977
"3737","go back day",5,44,-0.7218794494542
"869","back time senat",8,81,-0.721402463787735
"10922","use yield back",9,93,-0.720588235294118
"8819","secur government affair",14,154,-0.720164609053498
"9611","state senat senat",6,56,-0.720046082949309
"8431","republican leader senat",11,116,-0.717446476215266
"3965","grow middl class",5,43,-0.716269841269841
"8176","rais minimum wage",41,476,-0.71625401704096
"650","american societi civil",6,54,-0.711111111111111
"5254","let us vote",6,54,-0.711111111111111
"9685","student loan debt",26,287,-0.708921751256621
"3755","go confer budget",10,100,-0.708041958041958
"290","allow speak minut",6,53,-0.706427886152862
"6025","million american famili",8,76,-0.705738705738706
"7949","privaci civil liberti",5,41,-0.704347826086957
"2581","democrat republican work",5,40,-0.698005698005698
"9087","serv law clerk",5,40,-0.698005698005698
"8577","rise today opposit",6,51,-0.696594427244582
"6679","nativ american women",5,39,-0.691387559808612
"7348","pass bipartisan bill",5,39,-0.691387559808612
"9395","speaker motion recommit",5,39,-0.691387559808612
"4927","laid upon tabl",55,582,-0.690959255822285
"8989","senat proceed vote",29,298,-0.689369039793459
"11064","vote right act",21,209,-0.686024844720497
"4266","homeland secur government",16,154,-0.683070301291248
"2394","credit card debt",7,59,-0.682828282828283
"4066","health care million",6,48,-0.680555555555556
"10481","unanim consent follow",9,79,-0.679046563192905
"907","base sexual orient",5,37,-0.677248677248677
"2397","credit unit state",14,130,-0.677133655394525
"5421","lower interest rate",8,68,-0.676691729323308
"1981","committe foreign relat",15,140,-0.676553366529552
"2873","energi natur resourc",29,281,-0.673853989813243
"8553","rise strong opposit",12,108,-0.673684210526316
"11315","western new york",7,57,-0.673491379310345
"7998","product safeti commiss",5,36,-0.669686411149826
"9145","ship job oversea",5,36,-0.669686411149826
"6103","minimum wage hour",9,76,-0.668503350707372
"3615","gentlewoman california ms",14,125,-0.666468329096122
"145","act law land",6,45,-0.662745098039216
"7355","pass comprehens immigr",14,121,-0.657421762848119
"10436","trillion deficit reduct",6,44,-0.656363636363636
"1983","committe health educ",18,158,-0.655080213903743
"887","balanc budget back",5,34,-0.653457653457653
"3054","extend debt ceil",5,34,-0.653457653457653
"10265","time senat proceed",13,109,-0.651215375918598
"2670","distinguish rank member",9,71,-0.649324324324324
"8964","senat new jersey",16,136,-0.648882480173035
"5517","made laid upon",43,379,-0.643091505650747
"798","assist program snap",6,42,-0.642857142857143
"8976","senat pass bipartisan",6,42,-0.642857142857143
"9135","shaheen senat portman",6,42,-0.642857142857143
"9157","shut govern nt",6,42,-0.642857142857143
"5738","make us proud",7,51,-0.641909814323607
"122","act chair gentlewoman",8,60,-0.641366223908918
"3057","extend emerg unemploy",9,68,-0.636729467715383
"6115","minut equal divid",7,50,-0.636050911592707
"8510","rhode island mr",6,41,-0.635703165542294
"789","assault weapon ban",5,32,-0.635571054925894
"2747","earlier today senat",5,32,-0.635571054925894
"6009","militari justic improv",5,32,-0.635571054925894
"3505","full faith credit",21,172,-0.631764151727577
"4125","health insur marketplac",8,58,-0.631313131313131
"2826","employ nondiscrimin act",11,84,-0.630277942046127
"2838","enact level million",7,49,-0.63
"4298","hope move forward",6,40,-0.628260869565217
"10855","us go confer",6,40,-0.628260869565217
"3070","face everi day",8,57,-0.626075619295958
"1546","center american progress",5,31,-0.625925925925926
"3380","floor privileg remaind",5,31,-0.625925925925926
"5428","lurch crisi crisi",5,31,-0.625925925925926
"4122","health insur individu",6,39,-0.620512820512821
"2927","equal divid control",27,214,-0.617445042818045
"4021","head start program",16,122,-0.616820377689943
"295","allow us go",5,30,-0.61576354679803
"5758","mani differ way",5,30,-0.61576354679803
"9419","speaker rise speak",5,30,-0.61576354679803
"1547","center diseas control",23,179,-0.614669630228329
"4509","immigr system one",6,38,-0.61244019138756
"1985","committe hold hear",7,46,-0.610598153352067
"178","action climat chang",5,29,-0.605042016806723
"402","amend senat proceed",5,29,-0.605042016806723
"2578","democrat republican senat",5,29,-0.605042016806723
"7326","pass background check",5,29,-0.605042016806723
"1492","care act million",6,37,-0.604022627278441
"6716","need come togeth",6,37,-0.604022627278441
"8601","rollcal present would",6,37,-0.604022627278441
"2010","committe small busi",7,45,-0.603678929765886
"8686","san francisco bay",7,45,-0.603678929765886
"4820","judici emerg vacanc",8,53,-0.603576751117735
"10753","univers background check",9,61,-0.603571428571429
"9156","shut feder govern",7,44,-0.596514161220044
"2576","democrat republican independ",6,36,-0.595238095238095
"9461","speaker yield gentlewoman",10,67,-0.594293030912749
"2867","energi effici legisl",5,28,-0.59371492704826
"5252","let us rememb",5,28,-0.59371492704826
"9423","speaker rollcal present",5,28,-0.59371492704826
"11038","vote keep govern",5,28,-0.59371492704826
"11998","york new jersey",9,59,-0.592979127134725
"4216","higher interest rate",8,51,-0.591301566997122
"4828","judiciari committe report",8,51,-0.591301566997122
"1213","bipartisan immigr reform",7,43,-0.589090909090909
"1724","children health insur",6,35,-0.586062717770035
"4918","known food stamp",6,35,-0.586062717770035
"7274","oregon mr blumenau",6,35,-0.586062717770035
"1538","caus climat chang",5,27,-0.581730769230769
"10479","unanim consent copi",5,27,-0.581730769230769
"10531","unemploy insur program",5,27,-0.581730769230769
"4260","home state washington",10,64,-0.579491255961844
"8105","public charter school",14,93,-0.577496067363746
"2488","debat equal divid",17,115,-0.577441077441077
"2878","energi save industri",6,34,-0.576470588235294
"2051","comprehens immigr reform",74,530,-0.575693813816474
"3249","feder minimum wage",13,85,-0.574977817213842
"768","ask given permiss",24,165,-0.574811345303149
"3725","given permiss revis",24,165,-0.574811345303149
"7639","permiss revis extend",24,165,-0.574811345303149
"8315","reduc greenhous ga",7,41,-0.573412698412698
"1254","border secur econom",5,26,-0.569032258064516
"1595","chair time gentlewoman",5,26,-0.569032258064516
"2767","econom opportun immigr",5,26,-0.569032258064516
"3962","grow economi make",5,26,-0.569032258064516
"4126","health insur million",5,26,-0.569032258064516
"4197","help work famili",5,26,-0.569032258064516
"4439","hr receiv hous",5,26,-0.569032258064516
"4494","immigr modern act",5,26,-0.569032258064516
"7239","opportun immigr modern",5,26,-0.569032258064516
"11784","would take away",5,26,-0.569032258064516
"1940","come togeth work",6,33,-0.566433566433566
"4602","industri competit act",6,33,-0.566433566433566
"5271","like afford care",6,33,-0.566433566433566
"6096","million undocu immigr",6,33,-0.566433566433566
"8695","save industri competit",6,33,-0.566433566433566
"3360","flood insur bill",7,40,-0.565127140633108
"4768","job job job",7,40,-0.565127140633108
"9006","senat shaheen senat",9,54,-0.56390977443609
"3063","extend unemploy insur",22,144,-0.56039156626506
"10474","unanim consent bill",15,95,-0.559440559440559
"3097","famili across america",9,53,-0.557603686635945
"2726","dr martin luther",8,46,-0.557098765432099
"1506","care act time",6,32,-0.555921052631579
"8446","republican work togeth",6,32,-0.555921052631579
"1491","care act make",5,25,-0.555555555555556
"11066","vote senat bill",5,25,-0.555555555555556
"11482","work last year",5,25,-0.555555555555556
"4578","increas minimum wage",34,223,-0.553753856170648
"9362","speaker boehner said",7,38,-0.547578347578348
"2159","consider senat proceed",6,31,-0.544899738448126
"696","approach deficit reduct",5,24,-0.541229385307346
"1279","bring job back",5,24,-0.541229385307346
"2849","end domest violenc",5,24,-0.541229385307346
"3434","former colleagu senat",5,24,-0.541229385307346
"3743","go back line",5,24,-0.541229385307346
"5790","mani time floor",5,24,-0.541229385307346
"10221","time gentlewoman expir",5,24,-0.541229385307346
"10228","time hous republican",5,24,-0.541229385307346
"3307","first african american",10,57,-0.54049425006117
"3759","go confer work",7,37,-0.538277511961722
"3825","go shut govern",9,50,-0.53757595139111
"5862","medicar part d",9,50,-0.53757595139111
"10766","upheld suprem court",9,50,-0.53757595139111
"2043","compet global economi",6,30,-0.533333333333333
"3168","feder employe furlough",6,30,-0.533333333333333
"10842","us district court",25,152,-0.532890606931642
"8160","qualiti afford health",9,49,-0.530503978779841
"1978","committe feder judiciari",7,36,-0.528598365807668
"4663","interest rate low",7,36,-0.528598365807668
"9519","stand committe feder",7,36,-0.528598365807668
"5359","long way go",10,55,-0.528031290743155
"8309","reduc deficit billion",10,55,-0.528031290743155
"712","appropri committe senat",5,23,-0.525974025974026
"936","best futur endeavor",5,23,-0.525974025974026
"1738","citizen unit decis",5,23,-0.525974025974026
"6174","morn busi extend",5,23,-0.525974025974026
"10251","time opposit gentleman",5,23,-0.525974025974026
"10863","us marshal servic",5,23,-0.525974025974026
"11601","would allow vote",5,23,-0.525974025974026
"3636","get back feet",17,98,-0.523414439569206
"6030","million american includ",10,54,-0.521551724137931
"8905","senat foreign relat",20,116,-0.521266968325792
"1857","colleagu support nomin",6,29,-0.521182266009852
"2659","discharg consider senat",6,29,-0.521182266009852
"4112","health insur cover",6,29,-0.521182266009852
"4221","highli qualifi nomine",6,29,-0.521182266009852
"4707","iraq afghanistan veteran",6,29,-0.521182266009852
"3466","franklin delano roosevelt",8,41,-0.516848599905078
"8878","senat come floor",8,41,-0.516848599905078
"258","agricultur rural develop",9,47,-0.515714285714286
"2806","electron health record",9,47,-0.515714285714286
"1488","care act law",12,65,-0.513810133528443
"9","abl get done",5,22,-0.509700176366843
"28","access birth control",5,22,-0.509700176366843
"634","american peopl vote",5,22,-0.509700176366843
"1072","bill mr presid",5,22,-0.509700176366843
"2071","confirm presid bush",5,22,-0.509700176366843
"2361","creat job expand",5,22,-0.509700176366843
"4698","invok clotur nomin",5,22,-0.509700176366843
"4862","keep roof head",5,22,-0.509700176366843
"6230","move us toward",5,22,-0.509700176366843
"6395","mr speaker final",5,22,-0.509700176366843
"7539","peopl new york",5,22,-0.509700176366843
"9374","speaker happi yield",5,22,-0.509700176366843
"9602","state new york",16,88,-0.508634222919937
"1725","children live poverti",6,28,-0.508403361344538
"3087","fair act would",6,28,-0.508403361344538
"6027","million american get",6,28,-0.508403361344538
"11972","yield minut senat",6,28,-0.508403361344538
"1280","bring job home",10,52,-0.508064516129032
"4018","harvard law school",7,34,-0.50801393728223
"3646","get bill floor",9,46,-0.507977736549165
"9247","sinc senat pass",9,46,-0.507977736549165
"1787","clotur motion proceed",10,51,-0.501043219076006
"2127","consent bill read",17,92,-0.501024316380155
"6312","mr presid object",9,45,-0.5
"2661","diseas control prevent",14,74,-0.498891352549889
"2575","democrat republican come",8,39,-0.498702646600934
"7411","passag bill amend",6,27,-0.494949494949495
"7795","presid john f",6,27,-0.494949494949495
"11499","work minimum wage",6,27,-0.494949494949495
"248","agre bill amend",10,50,-0.493827160493827
"8109","public health safeti",10,50,-0.493827160493827
"3213","feder govern open",5,21,-0.492307692307692
"4235","hobbi lobbi case",5,21,-0.492307692307692
"5248","let us get",5,21,-0.492307692307692
"7420","paul ryan budget",5,21,-0.492307692307692
"9304","social cost carbon",5,21,-0.492307692307692
"11674","would like inquir",5,21,-0.492307692307692
"11755","would reduc deficit",5,21,-0.492307692307692
"11102","wall street reform",11,55,-0.488888888888889
"7861","presid pro tempor",15,77,-0.485844287158746
"2264","could nt afford",7,32,-0.485625485625486
"8408","republican come togeth",7,32,-0.485625485625486
"8950","senat mcconnel senat",7,32,-0.485625485625486
"9159","shutdown feder govern",7,32,-0.485625485625486
"10982","virginia mr moran",7,32,-0.485625485625486
"8137","put food tabl",41,222,-0.484694707875309
"3577","gentleman maryland mr",14,71,-0.483842144452718
"10770","upstat new york",9,43,-0.483277591973244
"3354","fix broken immigr",26,137,-0.48145832519245
"2034","commun mental health",6,26,-0.480769230769231
"4851","keep govern go",6,26,-0.480769230769231
"5739","make us safer",6,26,-0.480769230769231
"8817","secur econom opportun",6,26,-0.480769230769231
"8926","senat john mccain",6,26,-0.480769230769231
"4497","immigr reform bill",37,197,-0.479832058779427
"6792","new york new",14,70,-0.478632478632479
"6106","minimum wage would",13,64,-0.475763672946772
"9661","strong bipartisan vote",13,64,-0.475763672946772
"8249","read three time",11,53,-0.475215517241379
"1527","care reform law",9,42,-0.474509803921569
"10496","unanim consent proceed",9,42,-0.474509803921569
"2567","democrat four republican",5,20,-0.473684210526316
"3415","food safeti inspect",5,20,-0.473684210526316
"4600","individu small group",5,20,-0.473684210526316
"7496","peopl everi day",5,20,-0.473684210526316
"7733","postpon chair order",5,20,-0.473684210526316
"8323","reform bill pass",5,20,-0.473684210526316
"9825","sure presid offic",5,20,-0.473684210526316
"11180","want thank congressman",7,31,-0.473684210526316
"4665","interest rate percent",10,47,-0.47093223254214
"7990","proceed vote passag",10,47,-0.47093223254214
"6334","mr presid understand",16,79,-0.469426374926079
"7322","pass afford care",8,36,-0.4688995215311
"7354","pass budget senat",8,36,-0.4688995215311
"10197","three time pass",11,52,-0.468114731272626
"32","access higher educ",6,25,-0.465806451612903
"5333","live million american",6,25,-0.465806451612903
"5336","live poverti line",6,25,-0.465806451612903
"5702","make sure pay",6,25,-0.465806451612903
"6606","nation heritag area",6,25,-0.465806451612903
"6797","new york thank",6,25,-0.465806451612903
"8305","reduc carbon emiss",6,25,-0.465806451612903
"8953","senat menendez senat",6,25,-0.465806451612903
"11556","work togeth work",6,25,-0.465806451612903
"3407","follow regular order",9,41,-0.465454545454545
"4135","health insur program",9,41,-0.465454545454545
"4173","help million american",9,41,-0.465454545454545
"2819","emerg unemploy compens",13,62,-0.463961352657005
"3645","get bill done",10,46,-0.462857142857143
"3137","farm bill make",7,30,-0.461203138622493
"4506","immigr reform would",7,30,-0.461203138622493
"7944","print record conclus",7,30,-0.461203138622493
"8688","san joaquin valley",7,30,-0.461203138622493
"9680","student across countri",7,30,-0.461203138622493
"6612","nation institut health",63,322,-0.459726553130247
"1209","bipartisan budget act",12,56,-0.459203036053131
"6549","ms jackson lee",20,97,-0.456533456533457
"1563","chair appropri committe",9,40,-0.45609871855719
"1448","california mr waxman",5,19,-0.453703703703704
"2158","consider hr receiv",5,19,-0.453703703703704
"2577","democrat republican presid",5,19,-0.453703703703704
"3165","feder district judg",5,19,-0.453703703703704
"3419","food stamp snap",5,19,-0.453703703703704
"4245","home energi assist",5,19,-0.453703703703704
"4653","intellig surveil court",5,19,-0.453703703703704
"5266","life public servic",5,19,-0.453703703703704
"6114","minut distinguish gentlewoman",5,19,-0.453703703703704
"6527","mr speaker unavoid",5,19,-0.453703703703704
"7056","o c land",5,19,-0.453703703703704
"9096","serv us attorney",5,19,-0.453703703703704
"9477","specif select term",5,19,-0.453703703703704
"10511","unanim well qualifi",5,19,-0.453703703703704
"11451","work famili across",5,19,-0.453703703703704
"1917","come long way",12,55,-0.452410080743822
"1511","care afford care",6,24,-0.45
"2101","congress take action",6,24,-0.45
"2179","consum product safeti",6,24,-0.45
"6102","minimum wage bill",6,24,-0.45
"8201","rank member miller",6,24,-0.45
"9058","senior senat texa",6,24,-0.45
"9817","suprem court upheld",6,24,-0.45
"10884","us take action",6,24,-0.45
"7851","presid offic know",22,105,-0.448298301555281
"1474","care act aca",7,29,-0.448148148148148
"2065","confer cathol bishop",7,29,-0.448148148148148
"5207","let get work",7,29,-0.448148148148148
"9640","stop play game",7,29,-0.448148148148148
"9828","survivor sexual assault",7,29,-0.448148148148148
"7353","pass budget resolut",8,34,-0.447089947089947
"7854","presid offic senat",8,34,-0.447089947089947
"9005","senat shaheen portman",8,34,-0.447089947089947
"1529","career public servic",9,39,-0.446428571428571
"6134","minut gentlewoman new",9,39,-0.446428571428571
"11644","would hope could",9,39,-0.446428571428571
"9305","social safeti net",15,69,-0.445054945054945
"7375","pass immigr reform",16,74,-0.444973544973545
"8977","senat pass budget",23,109,-0.444684944684945
"6279","mr presid ask",641,3145,-0.438123188466559
"10976","violenc sexual assault",10,43,-0.437173825772782
"1564","chair budget committe",9,38,-0.436429683445771
"6127","minut gentleman oregon",9,38,-0.436429683445771
"11029","vote first vote",9,38,-0.436429683445771
"8387","repeal health care",8,33,-0.435540069686411
"1313","budget confer committe",7,28,-0.43448275862069
"7953","privat health care",7,28,-0.43448275862069
"8906","senat frank lautenberg",7,28,-0.43448275862069
"10873","us pass bill",7,28,-0.43448275862069
"10167","third time pass",29,135,-0.433621488113615
"1775","climat chang global",6,23,-0.43328335832084
"3614","gentlewoman california mr",6,23,-0.43328335832084
"4695","invest research develop",6,23,-0.43328335832084
"4824","judiciari committe hear",6,23,-0.43328335832084
"5255","let us work",6,23,-0.43328335832084
"5863","medicar prescript drug",6,23,-0.43328335832084
"7887","presid today introduc",6,23,-0.43328335832084
"8141","put ga car",6,23,-0.43328335832084
"8877","senat collin senat",6,23,-0.43328335832084
"10852","us get done",6,23,-0.43328335832084
"11039","vote keyston pipelin",6,23,-0.43328335832084
"11391","wo nt let",6,23,-0.43328335832084
"11459","work good faith",6,23,-0.43328335832084
"11934","yield back remain",6,23,-0.43328335832084
"452","america around world",5,18,-0.432225063938619
"885","balanc approach deficit",5,18,-0.432225063938619
"1482","care act fact",5,18,-0.432225063938619
"1788","clotur vote nomin",5,18,-0.432225063938619
"2030","commun around countri",5,18,-0.432225063938619
"2725","dover air forc",5,18,-0.432225063938619
"2862","energi assist program",5,18,-0.432225063938619
"3096","fallen hard time",5,18,-0.432225063938619
"3564","gentleman california postpon",5,18,-0.432225063938619
"3942","greatest challeng face",5,18,-0.432225063938619
"3972","gun hand crimin",5,18,-0.432225063938619
"4329","hous continu resolut",5,18,-0.432225063938619
"5668","make sure countri",5,18,-0.432225063938619
"7961","privat sector invest",5,18,-0.432225063938619
"8463","research nation institut",5,18,-0.432225063938619
"9021","senat vermont mr",5,18,-0.432225063938619
"9030","senat work hard",5,18,-0.432225063938619
"9041","send job oversea",5,18,-0.432225063938619
"9676","struggl find job",5,18,-0.432225063938619
"10223","time get done",5,18,-0.432225063938619
"10307","today introduc bill",5,18,-0.432225063938619
"10875","us postal servic",5,18,-0.432225063938619
"11124","want go work",5,18,-0.432225063938619
"6796","new york state",15,66,-0.428148148148148
"9891","take next step",8,32,-0.423529411764706
"10959","victim domest violenc",19,84,-0.42288059253328
"6195","move countri forward",15,65,-0.422297297297297
"13","abl move forward",7,27,-0.420168067226891
"1932","come togeth make",7,27,-0.420168067226891
"4548","improv energi effici",7,27,-0.420168067226891
"6692","natur resourc defens",7,27,-0.420168067226891
"8422","republican democrat vote",7,27,-0.420168067226891
"8961","senat murray senat",7,27,-0.420168067226891
"11942","yield floor senat",7,27,-0.420168067226891
"26","access afford health",10,41,-0.418736383442266
"8998","senat rhode island",16,69,-0.418317200297841
"3689","get social secur",6,22,-0.415584415584416
"4331","hous financ agenc",6,22,-0.415584415584416
"4837","justic suprem court",6,22,-0.415584415584416
"5775","mani part countri",6,22,-0.415584415584416
"8982","senat patti murray",6,22,-0.415584415584416
"2455","day govern shutdown",9,36,-0.415384615384615
"4766","job home act",9,36,-0.415384615384615
"5787","mani republican colleagu",9,36,-0.415384615384615
"9990","texa ms jackson",17,73,-0.414814814814815
"4908","know presid offic",14,59,-0.414025761602944
"10253","time pass motion",37,165,-0.413820973934128
"36","access qualiti afford",13,54,-0.411304135062393
"881","background check system",13,54,-0.411304135062393
"2866","energi effici improv",8,31,-0.411033411033411
"4249","home state illinoi",8,31,-0.411033411033411
"10509","unanim consent yield",8,31,-0.411033411033411
"1463","came senat floor",5,17,-0.409090909090909
"1489","care act let",5,17,-0.409090909090909
"1776","climat chang nt",5,17,-0.409090909090909
"2263","could move forward",5,17,-0.409090909090909
"2823","employ contribut health",5,17,-0.409090909090909
"3279","final let say",5,17,-0.409090909090909
"3281","final passag bill",5,17,-0.409090909090909
"3312","first came senat",5,17,-0.409090909090909
"3414","food peac program",5,17,-0.409090909090909
"3776","go get done",5,17,-0.409090909090909
"3939","great state new",5,17,-0.409090909090909
"4233","hit ground run",5,17,-0.409090909090909
"4880","know colleagu side",5,17,-0.409090909090909
"5457","madam presid go",5,17,-0.409090909090909
"5952","men women come",5,17,-0.409090909090909
"5986","metropolitan polic depart",5,17,-0.409090909090909
"6676","nation yield floor",5,17,-0.409090909090909
"8038","prosecut sexual assault",5,17,-0.409090909090909
"8437","republican nt want",5,17,-0.409090909090909
"9054","senior senat iowa",5,17,-0.409090909090909
"9397","speaker mr speaker",5,17,-0.409090909090909
"10017","thank colleagu california",5,17,-0.409090909090909
"10047","thank gentleman massachusett",5,17,-0.409090909090909
"10309","today join colleagu",5,17,-0.409090909090909
"10518","underli bill hr",5,17,-0.409090909090909
"10846","us financi institut",5,17,-0.409090909090909
"11450","work everi singl",5,17,-0.409090909090909
