"","bigram","Freq_R","Freq_D","chi.sq()"
"1444","know presid",151,99,-0.044327868852459
"2188","presid obama",2322,1515,-0.0443040183483205
"1493","leader said",131,86,-0.044226527180204
"573","congression budget",543,355,-0.0441239625675392
"1340","inspector gener",408,267,-0.0440259093173891
"482","close door",97,64,-0.0436385493889
"1766","motion recommit",207,136,-0.0436106617297194
"2983","today presid",77,51,-0.0432889344262295
"694","debat amend",115,76,-0.0430451393802179
"834","even know",115,76,-0.0430451393802179
"390","buy health",86,57,-0.0429278750446634
"170","american peopl",4854,3190,-0.0428239358818858
"2456","say know",136,90,-0.0425583266291231
"3170","want peopl",98,65,-0.0425540228986753
"2528","senat financ",101,67,-0.0424750146972369
"2849","terrorist group",104,69,-0.0424007476376726
"1753","moment ago",107,71,-0.0423308074209564
"2969","time yield",330,218,-0.0422334150348803
"1814","natur ga",803,530,-0.0421331783586439
"2104","peopl see",119,79,-0.0420875420875421
"2747","state presid",75,50,-0.0420168067226891
"588","consider bill",131,87,-0.0418902544573308
"619","cost million",81,54,-0.0418604651162791
"2702","spend much",81,54,-0.0418604651162791
"355","borrow money",202,134,-0.0417027417027417
"162","american health",90,60,-0.0416666666666667
"3460","york time",267,177,-0.0416512402813773
"592","constitut right",173,115,-0.0414204097714736
"2910","thought prayer",105,70,-0.0414201183431953
"2488","secretari state",318,211,-0.0413818778531592
"172","american taxpay",324,215,-0.0413558566868671
"1696","medal honor",123,82,-0.0412060301507538
"1085","go chang",85,57,-0.0405965202982601
"3325","would cost",142,95,-0.0403492428808885
"1141","good idea",226,151,-0.0402167773670701
"443","chairman rise",308,206,-0.0398449707405251
"2478","say would",155,104,-0.0396935614326919
"2063","peopl ask",98,66,-0.039518369867243
"3233","went say",83,56,-0.0394331151620057
"1777","mr moran",77,52,-0.0393899287830088
"2635","simpli say",141,95,-0.0389830508474576
"2085","peopl like",218,147,-0.0384706376159041
"1563","like take",145,98,-0.038356687676894
"543","committe process",87,59,-0.0383561643835616
"2014","part world",136,92,-0.0382487750908804
"1887","nt ask",78,53,-0.0381679389312977
"903","feder tax",75,51,-0.0380952380952381
"930","first one",75,51,-0.0380952380952381
"2984","today recogn",155,105,-0.0378558449424591
"2690","speaker want",303,205,-0.0376603820936726
"2200","presid sign",137,93,-0.0375776397515528
"15","account offic",171,116,-0.0375091447914988
"246","believ would",91,62,-0.0373927348717265
"1646","make happen",88,60,-0.0373049105443472
"934","first term",82,56,-0.0371102327624067
"723","democrat hous",76,52,-0.0368852459016393
"3164","want hear",73,50,-0.0367590855395733
"2483","second amend",210,143,-0.0366475904352156
"163","american hero",95,65,-0.036525974025974
"513","come congress",95,65,-0.036525974025974
"1782","much higher",95,65,-0.036525974025974
"2959","time think",92,63,-0.0364148084000866
"2413","rule chang",142,97,-0.0363639628638641
"2558","senat nt",136,93,-0.0362073354612568
"1961","one constitu",86,59,-0.0361696849417018
"2458","say look",86,59,-0.0361696849417018
"3033","ultim sacrific",86,59,-0.0361696849417018
"2464","say peopl",105,72,-0.0359797799583705
"1004","ga pipelin",77,53,-0.0357320099255583
"900","feder reserv",228,156,-0.0357142857142857
"1012","gentleman amend",153,105,-0.035437430786268
"3240","winner loser",87,60,-0.0351715154146765
"1081","go around",119,82,-0.0349279244801633
"3328","would delay",81,56,-0.0348247617986293
"1333","increas percent",164,113,-0.0346490468514793
"1056","get point",110,76,-0.0345280764635603
"1688","matter fact",171,118,-0.0343453116020884
"242","base upon",136,94,-0.0342391304347826
"2836","tax return",101,70,-0.034059897217792
"3385","would tell",82,57,-0.0338075404338184
"1298","illinoi mr",95,66,-0.0337006611901423
"1780","mr speaker",13017,8995,-0.0333951593232573
"946","fix problem",219,152,-0.0331499464608795
"2620","sex traffick",83,58,-0.0328342526924087
"2688","speaker today",233,162,-0.0328072630243077
"2570","senat said",119,83,-0.0327338856334613
"537","committe hous",106,74,-0.0326947637292465
"2321","realli nt",106,74,-0.0326947637292465
"681","cut spend",139,97,-0.0324981577008106
"1035","get amend",90,63,-0.0324129651860744
"2976","today honor",172,120,-0.0323785803237858
"2144","piec legisl",838,583,-0.032339242508262
"799","encourag colleagu",238,166,-0.0322404099706453
"1836","need know",179,125,-0.0321882726951607
"2125","peopl would",383,267,-0.0321452460582895
"1932","nt use",120,84,-0.0320855614973262
"429","chair gentleman",400,279,-0.0320395127000418
"192","appreci gentleman",107,75,-0.031968031968032
"682","d like",160,112,-0.031844316674038
"1629","major senat",137,96,-0.0317823448223705
"2178","presid democrat",81,57,-0.0316205533596838
"2885","thing think",81,57,-0.0316205533596838
"2319","real problem",168,118,-0.0312187812187812
"1869","next decad",105,74,-0.0310330351664675
"1939","nuclear program",105,74,-0.0310330351664675
"1218","hear peopl",85,60,-0.0310096750186058
"1206","harm way",122,86,-0.0308453922315308
"1911","nt mean",199,140,-0.0308361458803937
"618","cost health",139,98,-0.0307048788061446
"1111","go need",82,58,-0.0307036247334755
"1388","job economi",99,70,-0.030529640251207
"3424","year mr",89,63,-0.0304614275414564
"1438","know mr",79,56,-0.0303761125466552
"966","foreign affair",133,94,-0.0303187354236849
"797","employe work",93,66,-0.0299667036625971
"222","attorney gener",475,336,-0.0295946266782057
"3254","women uniform",223,158,-0.0295713035870516
"560","congress american",87,62,-0.0293330830243582
"239","balanc time",3088,2190,-0.0289806342472346
"142","amend yield",263,187,-0.0289089089089089
"2302","rais debt",263,187,-0.0289089089089089
"2504","seem like",122,87,-0.0288731232469889
"2035","past sever",98,70,-0.0288065843621399
"3110","ve seen",143,102,-0.0287080522585603
"112","amend consid",74,53,-0.0286978590486107
"562","congress go",74,53,-0.0286978590486107
"3386","would think",195,139,-0.0286256754783117
"3237","whole lot",81,58,-0.0286147022231839
"572","congress would",133,95,-0.0285285285285285
"735","depart health",133,95,-0.0285285285285285
"1002","futur countri",95,68,-0.0284865773123364
"1620","made decis",102,73,-0.02843617920541
"2432","said look",71,51,-0.0282645562464669
"446","chairman subcommitte",99,71,-0.0281205164992826
"2145","pilot program",99,71,-0.0281205164992826
"2217","prime minist",162,116,-0.027983495556496
"2676","speaker m",82,59,-0.0277909114788547
"541","committe member",96,69,-0.0277873070325901
"1441","know nt",170,122,-0.0275888495066577
"2459","say mr",114,82,-0.0274973147153598
"2682","speaker rollcal",93,67,-0.0274350649350649
"1024","gentleman north",86,62,-0.0274076893795204
"1759","money would",79,57,-0.0273755656108597
"616","cost billion",104,75,-0.0271579423257016
"3002","took place",150,108,-0.0271317829457364
"529","commit crime",83,60,-0.0270021948854066
"2790","sure nt",76,55,-0.0269312977099237
"2854","thank chairman",602,433,-0.0268174626648451
"130","amend reserv",94,68,-0.0267489711934156
"3213","way think",87,63,-0.0266666666666667
"405","care bill",144,104,-0.0266595574513463
"3413","year go",162,117,-0.0265863169088976
"2246","protect act",198,143,-0.0264805007221955
"382","budget request",73,53,-0.0264550264550265
"1384","job creation",459,331,-0.0264531128907259
"1983","one reason",259,187,-0.0264166326946596
"1116","go percent",84,61,-0.026246588935748
"3227","well nt",124,90,-0.0259705248023005
"3290","work presid",88,64,-0.0259552992069214
"2135","percent peopl",135,98,-0.0258834206197652
"879","famili countri",81,59,-0.0257995735607676
"1975","one member",81,59,-0.0257995735607676
"1998","open process",81,59,-0.0257995735607676
"2908","think would",291,211,-0.0257036370646446
"2953","time say",92,67,-0.0256916183664241
"3357","would nt",740,536,-0.0256806457186582
"2065","peopl believ",121,88,-0.02566761731916
"576","congression record",74,54,-0.0256147540983607
"269","bill committe",78,57,-0.0253229974160207
"1364","iran nuclear",89,65,-0.0252720252720253
"1662","make tough",89,65,-0.0252720252720253
"680","cut medicar",71,52,-0.0250851226460983
"1541","let repeat",104,76,-0.0250319284802043
